response_id,task,duration,offer,outcome,price,rtb,social_proof,answer
R_00zxXbZGxe0owBX,1,3 months,help you lead a better life,changing your sleep mindset,$30/month,cognitive behavioral therapy,leading researchers,3
R_00zxXbZGxe0owBX,10,6 months,help you lead a better life,changing your sleep mindset,$40/month,daily text messages from a coach,a method that has helped thousands,4
R_00zxXbZGxe0owBX,11,12 months,improve your sleep sustainably,breaking bad habits and creating new routines,$40/month,cognitive behavioral therapy,a method that has helped thousands,3
R_00zxXbZGxe0owBX,12,3 months,improve your sleep sustainably,breaking bad habits and creating new routines,$40/month,a program created just for you,professional athletes,1
R_00zxXbZGxe0owBX,2,12 months,help you lead a better life,breaking bad habits and creating new routines,$30/month,a program created just for you,leading researchers,2
R_00zxXbZGxe0owBX,3,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,scientific evidence,4
R_00zxXbZGxe0owBX,4,6 months,help you sleep without more pills,changing your sleep mindset,$20/month,daily text messages from a coach,leading researchers,2
R_00zxXbZGxe0owBX,5,12 months,improve your sleep sustainably,breaking bad habits and creating new routines,$30/month,the support of a community of people just like you,leading researchers,3
R_00zxXbZGxe0owBX,6,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,"unique daily games, challenges and exercises",a method that has helped thousands,4
R_00zxXbZGxe0owBX,7,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,daily text messages from a coach,scientific evidence,3
R_00zxXbZGxe0owBX,8,6 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,"personalized, human coaching",a method that has helped thousands,3
R_00zxXbZGxe0owBX,9,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$20/month,"unique daily games, challenges and exercises",leading researchers,4
R_09tDIe1d7x4Pr0Z,1,3 months,improve your sleep sustainably,changing your sleep mindset,$30/month,daily text messages from a coach,professional athletes,3
R_09tDIe1d7x4Pr0Z,10,6 months,improve your sleep sustainably,changing your sleep mindset,$30/month,daily text messages from a coach,professional athletes,3
R_09tDIe1d7x4Pr0Z,11,3 months,help you sleep without more pills,breaking bad habits and creating new routines,$40/month,"unique daily games, challenges and exercises",professional athletes,4
R_09tDIe1d7x4Pr0Z,12,6 months,improve your sleep sustainably,breaking bad habits and creating new routines,$30/month,"personalized, human coaching",a method that has helped thousands,4
R_09tDIe1d7x4Pr0Z,2,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$40/month,"personalized, human coaching",leading researchers,4
R_09tDIe1d7x4Pr0Z,3,12 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,"personalized, human coaching",scientific evidence,4
R_09tDIe1d7x4Pr0Z,4,3 months,give you the energy to unlock your fullest potential,breaking bad habits and creating new routines,$30/month,"unique daily games, challenges and exercises",professional athletes,4
R_09tDIe1d7x4Pr0Z,5,6 months,help you sleep without more pills,breaking bad habits and creating new routines,$20/month,"personalized, human coaching",scientific evidence,4
R_09tDIe1d7x4Pr0Z,6,12 months,improve your sleep sustainably,breaking bad habits and creating new routines,$20/month,cognitive behavioral therapy,professional athletes,4
R_09tDIe1d7x4Pr0Z,7,6 months,improve your sleep sustainably,changing your sleep mindset,$20/month,"personalized, human coaching",professional athletes,4
R_09tDIe1d7x4Pr0Z,8,6 months,help you sleep without more pills,changing your sleep mindset,$20/month,the support of a community of people just like you,scientific evidence,4
R_09tDIe1d7x4Pr0Z,9,3 months,improve your sleep sustainably,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,leading researchers,3
R_0ezucdFLFLIYzK1,1,3 months,give you the energy to unlock your fullest potential,changing your sleep mindset,$30/month,"personalized, human coaching",a method that has helped thousands,1
R_0ezucdFLFLIYzK1,10,6 months,improve your health for the long-run,empowering you to take back your sleep habits,$40/month,cognitive behavioral therapy,scientific evidence,1
R_0ezucdFLFLIYzK1,11,3 months,help you sleep without more pills,changing your sleep mindset,$20/month,daily text messages from a coach,professional athletes,1
R_0ezucdFLFLIYzK1,12,6 months,help you sleep without more pills,changing your sleep mindset,$40/month,the support of a community of people just like you,a method that has helped thousands,1
R_0ezucdFLFLIYzK1,2,12 months,help you lead a better life,empowering you to take back your sleep habits,$20/month,daily text messages from a coach,professional athletes,1
R_0ezucdFLFLIYzK1,3,3 months,give you the energy to unlock your fullest potential,empowering you to take back your sleep habits,$30/month,the support of a community of people just like you,scientific evidence,1
R_0ezucdFLFLIYzK1,4,12 months,help you lead a better life,empowering you to take back your sleep habits,$40/month,"unique daily games, challenges and exercises",leading researchers,1
R_0ezucdFLFLIYzK1,5,6 months,help you sleep without more pills,changing your sleep mindset,$40/month,"personalized, human coaching",scientific evidence,1
R_0ezucdFLFLIYzK1,6,12 months,improve your health for the long-run,empowering you to take back your sleep habits,$30/month,daily text messages from a coach,scientific evidence,1
