response_id,d_urban,s_gender,s_race,d_education,s_hhincome,s_problem,m1_philosophy_1,m1_philosophy_2,m1_philosophy_3,m1_philosophy_4,m1_philosophy_5,m1_philosophy_6,m1_philosophy_7,m1_philosophy_8,m1_philosophy_9,m2_attitudes_1,m2_attitudes_2,m2_attitudes_3,m2_attitudes_4,m2_attitudes_5,m2_attitudes_6,m2_attitudes_7,m2_attitudes_8,m2_attitudes_9,m2_attitudes_10,m2_attitudes_11,m2_awareness_apps_1,m2_awareness_apps_4,m2_awareness_apps_5,m2_awareness_apps_6,m2_awareness_apps_7,m2_awareness_apps_8,m2_awareness_apps_9,m2_awareness_apps_10,m2_awareness_apps_11,m2_awareness_apps_12,m2_awareness_apps_13,m2_awareness_apps_14,hours,source_1,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,source_16,source_17,behavior_1,behavior_4,behavior_5,behavior_6,behavior_7,behavior_8,behavior_9,behavior_10,behavior_11,behavior_12,behavior_13,behavior_14,behavior_15,behavior_16,behavior_a_1,behavior_a_2,behavior_a_3,behavior_a_4,behavior_a_5,behavior_a_6,behavior_a_7,behavior_a_8,behavior_a_9,behavior_a_10,behavior_a_11,behavior_a_12,behavior_a_13,behavior_a_14,interst_cbt,past_coach,interest_coach,d_marital,d_h_hnumber,d_parent,d_child_infant,d_child_young,d_child_older,d_politics,d_political_view,d_employment,d_work_schedule,d_work_hours,s_region,s_age,weights
R_4YgkQnMwIBtmJGh,1,1,5,8,3,3,3,3,3,4,3,2,4,4,3,4,4,4,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,2,NA,NA,NA,3,4,1,2,3,MIDWEST,65+,0.9088016440155631
R_ZKuM4msZCKKaOAx,2,1,5,6,3,1,4,2,3,5,5,4,3,5,4,5,5,5,1,4,3,4,4,4,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,1,2,5,NA,NA,WEST,65+,0.8729060154708477
R_1lntx0EmZ8gTdpP,2,2,5,5,3,3,4,3,3,3,2,3,4,4,4,5,5,4,3,4,4,5,5,4,5,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,2,3,4,1,2,NA,NA,NA,3,3,1,1,2,SOUTH,65+,1.0032782038430852
R_29j2Ko8ydqjpuBL,1,1,5,8,4,3,5,1,5,3,5,4,4,4,5,5,5,4,1,4,4,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,3,3,1,2,3,SOUTH,46-64,1.5666355095078583
R_2feXgKJVSlg8puB,2,1,5,8,4,1,4,1,5,4,3,1,3,4,5,5,4,5,5,1,3,4,1,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1,2,2,NA,NA,NA,2,3,5,NA,NA,SOUTH,65+,1.1290649787980505
R_1HqylZO7RPDYWR5,2,1,5,8,4,1,4,1,5,4,2,4,4,5,4,5,4,4,3,5,4,4,2,4,2,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,2,2,NA,NA,2,NA,NA,NA,NA,3,2,3,1,2,2,NA,NA,NA,3,4,5,NA,NA,SOUTH,65+,1.1290649787980505
R_3EQqiNE8aRF6DGu,2,1,5,8,3,1,5,1,3,4,3,3,5,5,3,5,5,1,3,3,5,5,2,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,3,6,2,2,NA,NA,NA,1,2,2,1,2,WEST,46-64,1.2112018227289714
R_1dHu78fZqaLfof5,2,1,5,8,3,3,5,2,5,2,2,2,5,4,5,4,4,2,2,4,4,4,4,4,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,2,2,NA,NA,NA,3,3,5,NA,NA,SOUTH,65+,1.2652478074058267
R_2v6BPytDuqBIqZU,2,1,5,4,3,2,5,1,3,1,3,1,3,2,5,5,5,3,4,1,3,4,5,2,5,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,3,2,2,NA,NA,NA,3,2,5,NA,NA,MIDWEST,65+,0.9088016440155631
R_bq2SMtIA5SUhoiZ,1,2,1,2,1,2,5,3,4,3,4,5,3,2,5,4,3,5,5,2,5,5,3,3,4,4,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,NA,NA,NA,3,3,2,5,2,2,NA,NA,NA,1,3,1,1,3,SOUTH,31-45,1.6171378819955464
